comentario,label final,normalized_text,rationales_offensive_1_normalized,rationales_offensive_2_normalized,rationales_offensive_1,links_post,rationales_offensive_2
"Velha cretina, vai cuidar do seu país..ah não te querem lá. Então vai pro inferno coisa ruim.",1.0,velha cretina vai cuidar do seu país ah não te querem lá então vai pro inferno coisa ruim,"['velha cretina', 'vai cuidar do seu país', 'ah não te querem lá', 'vai pro inferno coisa ruim']","['vai cuidar do seu país', 'ah não te querem lá', 'então vai pro inferno coisa ruim', 'velha cretina']",Velha cretina; vai cuidar do seu país; ah não te querem lá; vai pro inferno coisa ruim.,https://www.instagram.com/p/B2uThqdH9xI/,vai cuidar do seu país..ah não te querem lá; Então vai pro inferno coisa ruim; velha cretina;
Toma distraída!!!,1.0,toma distraída,['toma distraída'],['toma distraída'],Toma distraída,https://www.instagram.com/p/B2uThqdH9xI/,Toma distraída
Velha idiota comunista e corrupta .,1.0,velha idiota comunista e corrupta,"['velha idiota', 'comunista', 'corrupta']","['velha idiota', 'comunista', 'corrupta']",Velha idiota; comunista; corrupta,https://www.instagram.com/p/B2uThqdH9xI/,velha idiota; comunista; corrupta;
Demagoga se locupletando com dinheiro de propina,1.0,demagoga se locupletando com dinheiro de propina,['locupletando com dinheiro de propina'],"['demagoga', 'locupletando com dinheiro de propina']",locupletando com dinheiro de propina,https://www.instagram.com/p/B2uThqdH9xI/,demagoga; locupletando com dinheiro de propina
Porque é bandida igualmente a o presidiário cachaceiro do Lula,1.0,porque é bandida igualmente a o presidiário cachaceiro do lula,['bandida igualmente a o presidiário cachaceiro do lula'],"['porque é bandida', 'presidiário cachaceiro']",bandida igualmente a o presidiário cachaceiro do Lula,https://www.instagram.com/p/B2uThqdH9xI/,porque é bandida; presidiário cachaceiro;
Eu tenho pena é de você não ter sido da época do grande General Pinochet que lamentavelmente deixou sobrar este resquício de desgraça.,1.0,eu tenho pena é de você não ter sido da época do grande general pinochet que lamentavelmente deixou sobrar este resquício de desgraça,['este resquício de desgraça'],['este resquício de desgraça'],este resquício de desgraça,https://www.instagram.com/p/B2uThqdH9xI/,este resquício de desgraça;
Cai fora o Brasil não precisa de você,1.0,cai fora o brasil não precisa de você,['o brasil não precisa de você'],['cai fora'],o Brasil não precisa de você,https://www.instagram.com/p/B2uThqdH9xI/,cai fora
tá se revelando! corrupta ...nesse governo a gente tá realmente vendo quem é honesto e quem no presta!,1.0,está se revelando corrupta nesse governo a gente está realmente vendo quem é honesto e quem no presta,"['corrupta', 'quem no presta']",['corrupta'],corrupta; quem no presta,https://www.instagram.com/p/B2uThqdH9xI/,corrupta; 
Falou...Bacheria. . ...Brcelet.... ou seja lá como queira ser chamada sua raposa velhaca.,1.0,falou bactéria bracelete ou seja lá como queira ser chamada sua raposa velhaca,"['bactéria', 'raposa velhaca']",['raposa velhaca'],Bacheria; raposa velhaca,https://www.instagram.com/p/B2uThqdH9xI/,raposa velhaca
Bandidona e pilantrona o leitinho acabou,1.0,ladrona e pilantrona o leitinho acabou,"['ladrona', 'pilantrona', 'o leitinho acabou']","['ladrona', 'pilantrona', 'o leitinho acabou']",Bandidona; pilantrona; o leitinho acabou,https://www.instagram.com/p/B2uThqdH9xI/,Bandidona; pilantrona; o leitinho acabou;
Hipooooooócrita essa senhoura...,1.0,hipócrita essa senhora,['hipócrita'],['hipócrita'],Hipooooooócrita,https://www.instagram.com/p/B2uThqdH9xI/,hipócrita
Exato! Ela é um escrota!,1.0,exato ela é um escrota,['escrota'],['ela é um escrota'],escrota,https://www.instagram.com/p/B2uThqdH9xI/,Ela é um escrota;
Outra pilantra!,1.0,outra pilantra,['pilantra'],['outra pilantra'],pilantra,https://www.instagram.com/p/B2uThqdH9xI/,outra pilantra
Farinha do mesmo saco nojo desses políticos,1.0,farinha do mesmo saco nojo desses políticos,"['farinha do mesmo saco', 'nojo']","['farinha do mesmo saco', 'nojo desses políticos']",Farinha do mesmo saco; nojo,https://www.instagram.com/p/B2uThqdH9xI/,farinha do mesmo saco; nojo desses políticos;
Essa senhora é uma currupta igual seus amiguinhos do PT.,1.0,essa senhora é uma corrupta igual seus amiguinhos do parte,['corrupta igual seus amiguinhos do parte'],"['essa senhora é uma corrupta', 'amiguinhos do parte']",currupta igual seus amiguinhos do PT,https://www.instagram.com/p/B2uThqdH9xI/,Essa senhora é uma currupta; amiguinhos do PT;
"Cada coisa que aparece!!! Internacionarizaram a propina e a corrupção!!! Agora tem pena do Brasil, tem que ter pena dela mesmo, afinal ficou sem os recursos ilícitos!!!",1.0,cada coisa que aparece internacionarizaram a propina e a corrupção agora tem pena do brasil tem que ter pena dela mesmo afinal ficou sem os recursos ilícitos,"['internacionarizaram a propina e a corrupção', 'ficou sem os recursos ilícitos']","['internacionarizaram a propina e a corrupção', 'ficou sem os recursos ilícitos']",Internacionarizaram a propina e a corrupção; ficou sem os recursos ilícitos,https://www.instagram.com/p/B2uThqdH9xI/,internacionarizaram a propina e a corrupção; ficou sem os recursos ilícitos;
Devolva o dinheiro,1.0,devolva o dinheiro,['devolva o dinheiro'],['devolva o dinheiro'],Devolva o dinheiro,https://www.instagram.com/p/B2uThqdH9xI/,devolva o dinheiro
Pq. ELa é SAFADA igual ao 9 dedos. 😲😲,1.0,porque ela é safada igual ao 9 dedos,"['safada', '9 dedos']","['ela é safada', '9 dedos']",SAFADA; 9 dedos,https://www.instagram.com/p/B2uThqdH9xI/,ela é SAFADA; 9 dedos;
Terrorista FDP,1.0,terrorista filho da puta,"['terrorista', 'filho da puta']","['terrorist', 'filho da puta']",Terrorista; FDP,https://www.instagram.com/p/B2uThqdH9xI/,terrorist; FDP
Sem noção sobre o Brasil e uma corrupta 👎👎👿👿👿,1.0,sem noção sobre o brasil e uma corrupta,"['sem noção sobre o brasil', 'corrupta']",['corrupta'],Sem noção sobre o Brasil; corrupta,https://www.instagram.com/p/B2uThqdH9xI/,corrupta
Pena dessa senhorinha...,1.0,pena dessa senhorinha,['pena dessa senhorinha'],['pena dessa senhorinha'],Pena dessa senhorinha,https://www.instagram.com/p/B2uThqdH9xI/,pena dessa senhorinha
"Houve um tempo atrás que o Brasil recebeu milhares de chilenos, que veio arrumar emprego aqui no Brasil e os brasileiros os receberam de braços abertos, mas, o mundo e o povo é assim esquece rápido o bem que o outro fez! Mas, essa comunista está se achando, mas, é uma tremenda corrupta.",1.0,houve um tempo atrás que o brasil recebeu milhares de chilenos que veio arrumar emprego aqui no brasil e os brasileiros os receberam de braços abertos mas o mundo e o povo é assim esquece rápido o bem que o outro fez mas essa comunista está se achando mas é uma tremenda corrupta,"['essa comunista está se achando', 'é uma tremenda corrupta']","['comunista', 'tremenda corrupta']",essa comunista está se achando; é uma tremenda corrupta,https://www.instagram.com/p/B2uThqdH9xI/,comunista; tremenda corrupta; 
"VOCÊ TINHA DE TER PENA É QUANDO VÁRIOS BRASILEIROS MORRERAM NOS CORREDORES DOS HOSPITAIS PÚBLICOS POR CAUSA DAS ROUBALHEIRAS DOS CURRUPTOS, MAS VOCÊ VELHA CANALHA TAMBÉM FAZIA PARTE DO ESQUEMA SEGUNDO Á OAS 🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀.",1.0,você tinha de ter pena é quando vários brasileiros morreram nos corredores dos hospitais públicos por causa das roubalheiras dos corruptos mas você velha canalha também fazia parte do esquema segundo ás odebrecht,"['roubalheiras dos corruptos', 'você velha canalha também fazia parte do esquema segundo ás odebrecht']","['roubalheiras dos corruptos', 'velha canalha', 'fazia parte do esquema']",ROUBALHEIRAS DOS CURRUPTOS; VOCÊ VELHA CANALHA TAMBÉM FAZIA PARTE DO ESQUEMA SEGUNDO Á OAS,https://www.instagram.com/p/B2uThqdH9xI/,ROUBALHEIRAS DOS CURRUPTOS; VELHA CANALHA; FAZIA PARTE DO ESQUEMA;
"Pois é, nojenta!!",1.0,pois é nojenta,['nojenta'],['nojenta'],nojenta,https://www.instagram.com/p/B2uThqdH9xI/,nojenta
Quem quer saber oq vc pensa comunista corrupta vc deveria estar na cadeia !,1.0,quem quer saber o que você pensa comunista corrupta você deveria estar na cadeia,"['comunista', 'corrupta você deveria estar na cadeia']","['comunista', 'corrupta', 'você deveria estar na cadeia']",comunista; corrupta vc deveria estar na cadeia,https://www.instagram.com/p/B2uThqdH9xI/,comunista; corrupta; vc deveria estar na cadeia; 
"Enfia a sua pena no seu rabo, velha nojenta",1.0,enfia a sua pena no seu rabo velha nojenta,['enfia a sua pena no seu rabo velha nojenta'],"['enfia a sua pena no seu rabo', 'velha nojenta']","Enfia a sua pena no seu rabo, velha nojenta",https://www.instagram.com/p/B2uThqdH9xI/,Enfia a sua pena no seu rabo; velha nojenta
A única coisa que no momento a esquerda faz é rosnar!!,1.0,a única coisa que no momento a esquerda faz é rosnar,['a esquerda faz é rosnar'],['a única coisa que no momento a esquerda faz é rosnar'],a esquerda faz é rosnar,https://www.instagram.com/p/B2uThqdH9xI/,a única coisa que no momento a esquerda faz é rosnar
OQUE BACHELE FALA NÃO TEM VALOR!!! KKKK A PESSOA QUE SE ENVOLVE COM MARACUTAIA PARA ROUBAR UM POVO PERDE SEU VALOR E PRONTO ACABOU!!!,1.0,oque bacelo fala não tem valor kkk a pessoa que se envolve com maracutaia para roubar um povo perde seu valor e pronto acabou,"['não tem valor', 'se envolve com maracutaia para roubar', 'perde seu valor']",['envolve com maracutaia para roubar um povo'],NÃO TEM VALOR; SE ENVOLVE COM MARACUTAIA PARA ROUBAR; PERDE SEU VALOR,https://www.instagram.com/p/B2uThqdH9xI/,ENVOLVE COM MARACUTAIA PARA ROUBAR UM POVO
"Ela que cuidado quintal da própria casa, já que está sujos com dinheiro de propina!!",1.0,ela que cuidado quintal da própria casa já que está sujos com dinheiro de propina,['está sujos com dinheiro de propina'],"['ela que cuida do quintal da própria casa', 'está sujos com dinheiro de propina']",está sujos com dinheiro de propina,https://www.instagram.com/p/B2uThqdH9xI/,Ela que cuida do quintal da própria casa; está sujos com dinheiro de propina
"A resposta para um senhora desse , já que o dinheiro não vai ser devolvido. É um grande VA SE LASCAR, esquece o BRASIL e vá cuidar dos seus problemas",1.0,a resposta para um senhora desse já que o dinheiro não vai ser devolvido é um grande vá se lascar esquece o brasil e vá cuidar dos seus problemas,"['vá se lascar', 'vá cuidar dos seus problemas']","['o dinheiro não vai ser devolvido', 'vá cuidar dos seus problemas', 'vai se lascar']",VA SE LASCAR; vá cuidar dos seus problemas,https://www.instagram.com/p/B2uThqdH9xI/,o dinheiro não vai ser devolvido; vá cuidar dos seus problemas; vai se lascar;
"JA DIZIA O SANTO JOÃO BATISTA:""HIPOCRITAS!!!!! RAÇA DE VIBORAS!!!ENDIREITAI OS CAMINHOS.O Messias vem",1.0,já dizia o santo joão batista hipócritas raça de víboras endireitai os caminhos o messias vem,"['hipócritas', 'raça de víboras']","['hipócritas', 'raça de víboras']",HIPOCRITAS; RAÇA DE VIBORAS,https://www.instagram.com/p/B2uThqdH9xI/,HIPOCRITAS; RAÇA DE VIBORAS; 
Nossa mostre sua compaixão devolvendo o dinheiro que recebeu do MOLUSCO,1.0,nossa mostre sua compaixão devolvendo o dinheiro que recebeu do molusco,['mostre sua compaixão devolvendo o dinheiro que recebeu do molusco'],['molusco'],mostre sua compaixão devolvendo o dinheiro que recebeu do MOLUSCO,https://www.instagram.com/p/B2uThqdH9xI/,MOLUSCO; 
"Essa safada... Dinheiro ela gosta né? Não tem ""pena"" de roubar do Brasil!",1.0,essa safada dinheiro ela gosta não é não tem pena de roubar do brasil,"['safada', 'dinheiro ela gosta não é', 'não tem pena de roubar do brasil']",['safada'],"safada; Dinheiro ela gosta né?; Não tem ""pena"" de roubar do Brasil",https://www.instagram.com/p/B2uThqdH9xI/,safada; 
"Ah tá com pena?!Diz para ela vim doar alimento e roupas para os asilos,orfanatos e desabrigados ,hospitais que por conta das propinas que receberam esses lugares estão com deficiência de tudo,isso PR não mandar ele para Vênus!!",1.0,ah está com pena diz para ela vim doar alimento e roupas para os asilos orfanatos e desabrigados hospitais que por conta das propinas que receberam esses lugares estão com deficiência de tudo isso para não mandar ele para vênus,"['propinas', 'mandar ele para vênus']","['propinas', 'mandar ele para vênus']",propinas; mandar ele para Vênus,https://www.instagram.com/p/B2uThqdH9xI/,propinas; mandar ele para Vênus; 
"Sim, ela tem penas.......com certeza",1.0,sim ela tem penas com certeza,['ela tem penas'],['ela tem penas'],ela tem penas,https://www.instagram.com/p/B2uThqdH9xI/,ela tem penas; 
OH BACHELET RECEBEU PROPINA DA OAS ENTÃO NÓS BRASILEIROS PATRIOTAS ESTAMOS ENTENDENDO A SUA TRISTESA ACABOU A SUA MAMATA CANALHAS,1.0,oh bachelet recebeu propina da odebrecht então nós brasileiros patriotas estamos entendendo a sua tristeza acabou a sua mamata canalhas,"['recebeu propina da odebrecht', 'acabou a sua mamata canalhas']","['propina', 'acabou a sua mamata', 'canalhas']",RECEBEU PROPINA DA OAS; ACABOU A SUA MAMATA CANALHAS,https://www.instagram.com/p/B2uThqdH9xI/,PROPINA; ACABOU A SUA MAMATA; CANALHAS;
"PORQUE É PORCA DO MESMO LODO,",1.0,porque é porca do mesmo lodo,['é porca do mesmo lodo'],['porca do mesmo lodo'],É PORCA DO MESMO LODO,https://www.instagram.com/p/B2uThqdH9xI/,PORCA DO MESMO LODO; 
Essa Brochelet tem cara de corrupta da quadrilha lulaladrão.,1.0,essa bracelete tem cara de corrupta da quadrilha figurão,['corrupta da quadrilha figurão'],"['tem cara de corrupta', 'quadrilha figurão']",corrupta da quadrilha lulaladrão,https://www.instagram.com/p/B2uThqdH9xI/,tem cara de corrupta; quadrilha lulaladrão
Secou a fonte pilantra. Devia estar na cadeia. Esquerdista cara de pau,1.0,secou a fonte pilantra devia estar na cadeia esquerdista cara de pau,"['secou a fonte pilantra', 'devia estar na cadeia', 'cara de pau']","['secou a fonte pilantra', 'devia estar na cadeia', 'esquerdista cara de pau']",Secou a fonte pilantra; Devia estar na cadeia; cara de pau,https://www.instagram.com/p/B2uThqdH9xI/,Secou a fonte pilantra; Devia estar na cadeia; Esquerdista cara de pau;
ACABOU A MAMATAAA!!!✨🇧🇷✨,1.0,acabou a mamata,['acabou a mamata'],['acabou a mamata'],ACABOU A MAMATAAA,https://www.instagram.com/p/B2uThqdH9xI/,acabou a mamata
Velha ridícula e bandida!! Parece uma porca,1.0,velha ridícula e bandida parece uma porca,"['velha ridícula e bandida', 'parece uma porca']","['bandida', 'parece uma porca', 'velha ridícula']",Velha ridícula e bandida; Parece uma porca,https://www.instagram.com/p/B2uThqdH9xI/,bandida; parece uma porca; velha rídicula;
CLARO QUE TEM PENA PORQUE ELA JUNTO COM O LULADRÃO SUGARAM O POVO DEVERIA TER VERGONHA NA CARA E DEVOLVER O DINHEIRO QUE LEVOU,1.0,claro que tem pena porque ela junto com o luladrão sugaram o povo deveria ter vergonha na cara e devolver o dinheiro que levou,"['junto com o luladrão sugaram o povo', 'deveria ter vergonha na cara e devolver o dinheiro que levou']","['ela junto com o luladrão sugaram o povo', 'deveria ter vergonha na cara', 'devolver o dinheiro que levou']",JUNTO COM O LULADRÃO SUGARAM O POVO; DEVERIA TER VERGONHA NA CARA E DEVOLVER O DINHEIRO QUE LEVOU,https://www.instagram.com/p/B2uThqdH9xI/,ELA JUNTO COM O LULADRÃO SUGARAM O POVO; DEVERIA TER VERGONHA NA CARA; DEVOLVER O DINHEIRO QUE LEVOU
"Esquerdopatas mentem para ver se vira verdade, isso é o lema deles.",1.0,esquerdistas mentem para ver se vira verdade isso é o lema deles,['esquerdistas mentem para ver se vira verdade'],"['esquerdistas', 'mentem para ver se vira verdade']",Esquerdopatas mentem para ver se vira verdade,https://www.instagram.com/p/B2uThqdH9xI/,Esquerdopatas; mentem para ver se vira verdade
SÓ SENTE PENA SE FOR REMUNERADA PRA ISSO...NÃO PRECISAMOS QUE ESSA GENTE SINTAM PENA DO NOSSO PAÍS...E SIM QUE SE AFASTEM DELE E DO NOSSO DINHEIRO...,1.0,só sente pena se for remunerada pra isso não precisamos que essa gente sintam pena do nosso país e sim que se afastem dele e do nosso dinheiro,"['só sente pena se for remunerada pra isso', 'se afastem dele e do nosso dinheiro']",['não precisamos que essa gente sintam pena do nosso país'],SÓ SENTE PENA SE FOR REMUNERADA PRA ISSO; SE AFASTEM DELE E DO NOSSO DINHEIRO,https://www.instagram.com/p/B2uThqdH9xI/,NÃO PRECISAMOS QUE ESSA GENTE SINTAM PENA DO NOSSO PAÍS
Sim porque??? É muita hipocrisia. E a propina...,1.0,sim porque é muita hipocrisia e a propina,"['muita hipocrisia', 'propina']","['é muita hipocrisia', 'e a propina']",muita hipocrisia; propina,https://www.instagram.com/p/B2uThqdH9xI/,é muita hipocrisia; e a proprina;
Ta com pena? Devolve a propina,1.0,está com pena devolve a propina,['devolve a propina'],['devolve a propina'],Devolve a propina,https://www.instagram.com/p/B2uThqdH9xI/,devolve a propina
